Tecnología;Parámetro;Porcentaje;Fuente
Inteligencia Artificial (IA);Adopción de IA en empresas;55%;Mercately
;Uso en el sector salud;36%;Hostinger
;Crecimiento en IA generativa;65%;Mercately
;;;McKinsey
;Empresas que han adoptado IA;55%;CB Insights
;Uso de IA en automatización de TI;33%;Tortoise Media
;Incremento de IA en diagnóstico médico;36%;Mercately
;Ahorro de costos mediante IA;Hasta 30%;McKinsey
;Financiación global de IA;45 mil millones USD en 2022;CB Insights
;Incremento en la financiación de startups de IA;66% (2021-2023);Tortoise Media
;Uso de IA en marketing personalizado;37%;Mercately
;Interacción de la población con IA;85% (en países desarrollados);Mercately
;Automatización de tareas en empresas;27%;McKinsey
;Impacto esperado en el PIB mundial;15.7 billones USD para 2030;Mercately
;IA en servicios legales y comerciales;31%;McKinsey
;Implementación de IA generativa;34%;McKinsey
;Demanda de habilidades en IA;Excede la oferta;CIO
;Salario promedio en IA;$160,000 anuales;Glassdoor
;Uso de chatbots en atención al cliente;Incremento del 30%;Mercately
;Automatización de procesos repetitivos;Hasta 50% más eficiencia;McKinsey
;Adopción de IA en cadenas de suministro;41%;McKinsey
;Percepción positiva de IA en usuarios;68%;Hostinger
